,index,Unnamed: 0,Unnamed: 0.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor
227,3035,3035,3035,PaPbO3,Pa,Pb,0,element not in BV,element not in BV,0.95,0.99,orthorhombic,-2.224,0.186,0.2,17.36,1.193,5.806,6.046,9.891,90,90,90,-1.697,0.7333333333,0.6950194858,5.89,7.416,1.5,2.33,0.6950194858
228,5212,5212,5212,ZnLaO3,Zn,La,0,not balanced,not balanced,0.9,1.03,orthorhombic,-2.333,0.183,0.2,14.238,0.656,5.439,5.977,8.759,90,90,90,-4.393,0.762962963,0.6684833015,9.394,5.58,1.65,1.1,0.6684833015
229,610,610,610,BiInO3,Bi,In,1,3,3,1.38,0.8,orthorhombic,-1.621,0.038,0.23024652898311615,13.878,2.645,5.644,6.039,8.144,90,90,90,0.639,0.5925925926,0.8978611687000001,7.289,5.7860000000000005,2.02,1.78,0.8978611687000001
230,1873,1873,1873,HoRbO3,Ho,Rb,0,not balanced,not balanced,1.12,1.52,orthorhombic,-2.141,0.364,0,17.95,1.164,6.129,6.181,9.477,90,90,90,-8.649,1.1259259259,0.6085553134,6.018,4.177,1.23,0.82,0.6085553134
231,2201,2201,2201,LiCeO3,Li,Ce,0,not balanced,not balanced,0.92,0.94,orthorhombic,-2.294,0.148,0,12.915,2.519,5.819,6.018,7.376,90,90,90,-2.253,0.6962962963,0.7009311761,5.392,5.54,0.98,1.12,0.7009311761
232,1598,1598,1598,GdTmO3,Gd,Tm,0,3,3,1.11,0.88,cubic,-3.122,0.74,0,14.761,1.964,4.195,4.195,4.195,90,90,90,4.498,0.6518518519,0.780037077,6.15,6.184,1.2,1.25,0.780037077
233,867,867,867,CeTlO3,Ce,Tl,0,3,3,1.34,0.89,orthorhombic,-2.197,0.032,0,15.189,1.079,5.81,6.185,8.453,90,90,90,1.325,0.6592592593,0.8491594828,5.54,6.108,1.12,1.62,0.8491594828
234,2770,2770,2770,NdYO3,Nd,Y,0,3,3,1.27,0.9,cubic,-3.065,0.649,0,15.735,1.82,4.285,4.285,4.285,90,90,90,4.343,0.6666666667,0.823386563,5.53,6.38,1.14,1.22,0.823386563
235,4,4,4,AcAuO3,Ac,Au,0,element not in BV,element not in BV,1.12,0.93,orthorhombic,-2.006,-0.056,0,15.19,0.745,5.899,6.75,7.63,90,90,90,0.807,0.6888888889,0.7660323462999999,5.17,9.225,1.1,2.54,0.7660323462999999
236,1435,1435,1435,FeRbO3,Fe,Rb,0,not balanced,not balanced,0.85,1.52,orthorhombic,-1.304,0.106,0.6,17.168,0.505,5.491,6.01,10.406,90,90,90,-0.35470613837242126,1.1259259259,0.5420330727,7.87,4.177,1.83,0.82,0.5420330727
237,4217,4217,4217,SrSnO3,Sr,Sn,1,2,4,1.44,0.69,orthorhombic,-2.495,-0.042,0.23024652898311615,13.439,2.116,5.733,5.766,8.131,90,90,90,3.937,0.5111111111,0.9670725095999999,5.695,7.343999999999999,0.95,1.96,0.9670725095999999
238,3289,3289,3289,PrAuO3,Pr,Au,0,element not in BV,element not in BV,1.18,0.93,orthorhombic,-1.934,-0.005,0,13.9,0.987,5.713,6.561,7.417,90,90,90,0.1,0.6888888889,0.7846404195000001,5.46,9.225,1.13,2.54,0.7846404195000001
239,2231,2231,2231,LiPaO3,Li,Pa,0,element not in BV,element not in BV,0.92,0.91,rhombohedral,-2.963,-0.311,0,13.301,4.216,5.976,5.976,5.976,54.9,54.9,54.9,5.528,0.6740740741,0.7102355723,5.392,5.89,0.98,1.5,0.7102355723
240,5262,5262,5262,ZrBaO3,Zr,Ba,0,not balanced,not balanced,0.89,1.35,orthorhombic,-3.166,0.311,0,18.714,3.438,6.082,6.18,9.958,90,90,90,-3.113,1.0,0.5866367370000001,6.84,5.212000000000001,1.33,0.89,0.5866367370000001
241,1612,1612,1612,GeBaO3,Ge,Ba,0,not balanced,not balanced,0.63,1.35,orthorhombic,-2.394,0.131,0.23024652898311615,17.277,3.093,5.186,6.053,11.006,90,90,90,-7.41,1.0,0.5185449729,7.899,5.212000000000001,2.01,0.89,0.5185449729
242,2143,2143,2143,LaInO3,La,In,1,3,3,1.36,0.8,orthorhombic,-2.773,0.006,0,14.094,3.131,5.721,5.972,8.251,90,90,90,3.397,0.5925925926,0.8912834312000001,5.58,5.7860000000000005,1.1,1.78,0.8912834312000001
243,2279,2279,2279,LuDyO3,Lu,Dy,0,3,3,1.03,0.91,cubic,-2.753,1.153,0,15.334,0.591,4.248,4.248,4.248,90,90,90,-0.415,0.6740740741,0.7446522740000001,5.4259,5.94,1.27,1.22,0.7446522740000001
244,3217,3217,3217,PmBO3,Pm,B,0,element not in BV,element not in BV,1.14,0.27,cubic,-2.462,0.687,0,8.751,2.59,3.524,3.524,3.524,90,90,90,5.137,0.2,1.0868493118,5.553999999999999,8.298,1.13,2.04,1.0868493118
245,2718,2718,2718,NdErO3,Nd,Er,0,3,3,1.27,0.89,cubic,-3.182,0.576,0,15.243,1.892,4.24,4.24,4.24,90,90,90,4.639,0.6592592593,0.8270623959000001,5.53,6.101,1.14,1.24,0.8270623959000001
246,5102,5102,5102,YTmO3,Y,Tm,0,3,3,1.08,0.88,cubic,-3.07,0.8,0,14.729,1.869,4.192,4.192,4.192,90,90,90,2.191,0.6518518519,0.7705244297,6.38,6.184,1.22,1.25,0.7705244297
247,1256,1256,1256,ErCuO3,Er,Cu,0,3,3,1.06,0.54,orthorhombic,-2.296,0.052,0,10.81,0.269,5.179,5.849,7.137,90,90,90,0.539,0.4,0.9016546787,6.101,7.726,1.24,1.9,0.9016546787
248,3350,3350,3350,PrTmO3,Pr,Tm,0,3,3,1.18,0.88,orthorhombic,-3.729,0.025,0,14.447,5.007,5.763,6.005,8.349,90,90,90,4.856,0.6518518519,0.802233254,5.46,6.184,1.13,1.25,0.802233254
249,4034,4034,4034,SmFeO3,Sm,Fe,1,3,3,1.24,0.65,orthorhombic,-2.734,-0.03,1,11.7,1.151,5.383,5.638,7.71,90,90,90,3.624,0.4814814815,0.9157032815999999,5.64,7.87,1.17,1.83,0.9157032815999999
250,5034,5034,5034,WYbO3,W,Yb,0,3,3,0.66,0.87,rhombohedral,-2.5,0.234,0.001,14.644,0.685,5.95,5.95,5.95,59.3,59.3,59.3,-13.326,0.6444444443999999,0.6402183019,7.98,6.254,2.36,1.1,0.6402183019
251,4936,4936,4936,VPrO3,V,Pr,0,2,4,0.79,0.85,orthorhombic,-2.888,0.292,0.4,14.118,1.315,5.723,5.819,8.479,90,90,90,-7.01,0.6296296296,0.6878220508,6.74,5.46,1.63,1.13,0.6878220508
252,3881,3881,3881,ScCoO3,Sc,Co,0,3,3,0.87,0.61,cubic,-1.94,0.591,0,9.546,0.849,3.627,3.627,3.627,90,90,90,1.089,0.4518518519,0.8009066603,6.54,7.86,1.36,1.88,0.8009066603
253,2265,2265,2265,LuAlO3,Lu,Al,1,3,3,1.03,0.54,orthorhombic,-3.622,-0.008,0,9.848,6.174,5.078,5.326,7.283,90,90,90,6.179,0.4,0.8904307615000001,5.4259,5.986000000000001,1.27,1.61,0.8904307615000001
254,1862,1862,1862,HoNdO3,Ho,Nd,0,not balanced,not balanced,1.12,0.98,cubic,-2.456,1.291,0,17.601,0.331,4.448,4.448,4.448,90,90,90,-2.305,0.7259259259,0.7495938839,6.018,5.53,1.23,1.14,0.7495938839
255,3449,3449,3449,PuEuO3,Pu,Eu,0,element not in BV,element not in BV,0.96,1.06,orthorhombic,-3.269,0.233,0.8,15.168,1.641,6.036,6.271,8.015,90,90,90,-0.35470613837242126,0.7851851851999999,0.6777662508,6.06,5.67,1.28,1.2,0.6777662508
256,2997,2997,2997,PaAuO3,Pa,Au,0,element not in BV,element not in BV,0.95,0.93,orthorhombic,-2.068,0.026,0,16.244,2.044,6.417,6.963,7.271,90,90,90,-2.825,0.6888888889,0.7133094722,5.89,9.225,1.5,2.54,0.7133094722
257,2821,2821,2821,NiPuO3,Ni,Pu,0,element not in BV,element not in BV,0.59,0.83,orthorhombic,-2.378,0.095,1.2,12.728,1.43,5.518,5.581,8.267,90,90,90,-0.35470613837242126,0.6148148148,0.6292601631,7.635,6.06,1.91,1.28,0.6292601631
258,3457,3457,3457,PuInO3,Pu,In,0,element not in BV,element not in BV,0.96,0.8,cubic,-2.13,0.609,1,13.925,0.593,4.114,4.114,4.114,90,90,90,-0.35470613837242126,0.5925925926,0.7597286812,6.06,5.7860000000000005,1.28,1.78,0.7597286812
259,2391,2391,2391,MgSmO3,Mg,Sm,0,not balanced,not balanced,0.89,0.96,orthorhombic,-2.805,0.232,0.201,13.55,0.726,5.593,5.79,8.368,90,90,90,-3.053,0.7111111111,0.685679303,7.646,5.64,1.31,1.17,0.685679303
260,945,945,945,CoYO3,Co,Y,0,3,3,0.61,0.9,rhombohedral,-2.413,0.118,0.8,13.471,1.763,5.999,5.999,5.999,54.9,54.9,54.9,-4.168,0.6666666667,0.6159685738,7.86,6.38,1.88,1.22,0.6159685738
261,4044,4044,4044,SmLaO3,Sm,La,0,not balanced,not balanced,1.24,1.03,cubic,-2.566,1.141,0,18.469,0.557,4.52,4.52,4.52,90,90,90,2.17,0.762962963,0.769498556,5.64,5.58,1.17,1.1,0.769498556
262,3223,3223,3223,PmCeO3,Pm,Ce,0,element not in BV,element not in BV,1.14,0.94,cubic,-2.477,1.121,0,18.779,0.759,4.545,4.545,4.545,90,90,90,2.324,0.6962962963,0.7688628318999999,5.553999999999999,5.54,1.13,1.12,0.7688628318999999
263,5021,5021,5021,WSrO3,W,Sr,0,4,2,0.66,1.18,rhombohedral,-2.413,0.332,0,16.614,1.361,6.037,6.037,6.037,63.1,63.1,63.1,-16.873,0.8740740740999999,0.5617725811,7.98,5.695,2.36,0.95,0.5617725811
264,4842,4842,4842,UHgO3,U,Hg,0,4,2,1.17,1.02,orthorhombic,-2.226,0.291,0.4,15.403,1.773,5.681,6.135,8.838,90,90,90,-2.345,0.7555555556,0.7518603748999999,6.05,10.437000000000001,1.38,2.0,0.7518603748999999
265,1641,1641,1641,GeNaO3,Ge,Na,0,not balanced,not balanced,0.63,1.02,orthorhombic,-1.604,0.211,0.23024652898311615,12.24,0.38,5.082,5.579,8.635,90,90,90,-10.571,0.7555555556,0.5907474374,7.899,5.138999999999999,2.01,0.93,0.5907474374
266,2465,2465,2465,MnSnO3,Mn,Sn,0,2,4,0.96,0.69,orthorhombic,-1.984,0.042,1,11.639,0.851,5.368,5.544,7.823,90,90,90,2.711,0.5111111111,0.8006944434000001,7.435,7.343999999999999,1.55,1.96,0.8006944434000001
267,3105,3105,3105,PbNpO3,Pb,Np,0,element not in BV,element not in BV,1.49,0.86,orthorhombic,-2.633,0.122,0.6,16.074,2.381,6.006,6.204,8.628,90,90,90,-0.35470613837242126,0.637037037,0.9086802075,7.416,6.19,2.33,1.36,0.9086802075
268,2563,2563,2563,NaBiO3,Na,Bi,0,1,5,1.39,0.76,orthorhombic,-1.407,0.048,0.23024652898311615,13.512,0.736,5.705,5.819,8.14,90,90,90,0.27,0.5629629629999999,0.9182334504999999,5.138999999999999,7.289,0.93,2.02,0.9182334504999999
269,4608,4608,4608,TiCaO3,Ti,Ca,0,not balanced,not balanced,0.74,1.0,orthorhombic,-3.201,0.167,0,13.209,2.645,5.42,5.54,8.799,90,90,90,-0.35470613837242126,0.7407407407,0.6288736905,6.82,6.1129999999999995,1.54,1.0,0.6288736905
270,3312,3312,3312,PrIrO3,Pr,Ir,0,3,3,1.18,0.68,orthorhombic,-2.181,0.104,0,12.563,0.873,5.402,5.928,7.846,90,90,90,0.203,0.5037037037,0.881271013,5.46,9.1,1.13,2.2,0.881271013
271,4309,4309,4309,TbAlO3,Tb,Al,1,3,3,1.1,0.54,orthorhombic,-3.448,-0.02,0,10.267,5.845,5.198,5.336,7.404,90,90,90,6.336,0.4,0.9166199015000001,5.86,5.986000000000001,1.1,1.61,0.9166199015000001
272,3138,3138,3138,PbZrO3,Pb,Zr,1,2,4,1.49,0.72,orthorhombic,-2.678,0.03,0,14.136,2.846,5.8,5.895,8.269,90,90,90,-0.35470613837242126,0.5333333333,0.9701368399,7.416,6.84,2.33,1.33,0.9701368399
273,4711,4711,4711,TlNpO3,Tl,Np,0,element not in BV,element not in BV,1.7,0.86,rhombohedral,-2.466,0.105,0.4,16.26,1.113,6.14,6.14,6.14,59.7,59.7,59.7,1.24,0.637037037,0.9758713495999999,6.108,6.19,1.62,1.36,0.9758713495999999
274,3297,3297,3297,PrCoO3,Pr,Co,1,3,3,1.18,0.61,orthorhombic,-2.415,-0.001,0,11.367,1.178,5.39,5.477,7.701,90,90,90,-0.35470613837242126,0.4518518519,0.9127449778,5.46,7.86,1.13,1.88,0.9127449778
275,1106,1106,1106,CuCeO3,Cu,Ce,0,not balanced,not balanced,0.68,0.94,rhombohedral,-1.953,0.204,0.4,15.973,0.464,6.703,6.703,6.703,49.4,49.4,49.4,-4.235,0.6962962963,0.6268239152,7.726,5.54,1.9,1.12,0.6268239152
276,2614,2614,2614,NaTbO3,Na,Tb,0,not balanced,not balanced,1.39,0.84,orthorhombic,-2.171,0.198,0,13.147,2.583,6.023,6.163,7.084,90,90,90,-1.346,0.6222222222,0.884690676,5.138999999999999,5.86,0.93,1.1,0.884690676
277,3249,3249,3249,PmNdO3,Pm,Nd,0,element not in BV,element not in BV,1.14,0.98,cubic,-2.654,0.994,0,17.772,1.156,4.462,4.462,4.462,90,90,90,2.951,0.7259259259,0.75566347,5.553999999999999,5.53,1.13,1.14,0.75566347
278,5166,5166,5166,YbSnO3,Yb,Sn,0,2,4,1.14,0.69,orthorhombic,-2.686,-0.105,0.23024652898311615,12.17,2.745,5.456,5.677,7.858,90,90,90,3.351,0.5111111111,0.8630862182,6.254,7.343999999999999,1.1,1.96,0.8630862182
279,1798,1798,1798,HgPtO3,Hg,Pt,0,element not in BV,element not in BV,1.14,0.67,orthorhombic,-0.506,0.12,0.001,12.145,0.462,5.528,5.6,7.847,90,90,90,-0.549,0.49629629630000005,0.8716316262999999,10.437000000000001,9.0,2.0,2.28,0.8716316262999999
280,146,146,146,AlAcO3,Al,Ac,0,element not in BV,element not in BV,0.54,1.12,orthorhombic,-3.304,0.228,0,14.825,3.118,5.553,5.62,9.501,90,90,90,-5.958,0.8296296296,0.5410655127,5.986000000000001,5.17,1.61,1.1,0.5410655127
281,4403,4403,4403,TcHfO3,Tc,Hf,0,element not in BV,element not in BV,0.6,0.71,cubic,-1.925,0.888,1,13.507,0.925,4.072,4.072,4.072,90,90,90,1.949,0.5259259259000001,0.6693486521,7.28,6.65,1.9,1.3,0.6693486521
282,67,67,67,AcVO3,Ac,V,0,element not in BV,element not in BV,1.12,0.64,orthorhombic,-3.221,-0.116,0.4,12.873,1.21,5.664,5.684,7.997,90,90,90,4.968,0.47407407409999996,0.8776652008,5.17,6.74,1.1,1.63,0.8776652008
283,1526,1526,1526,GaUO3,Ga,U,0,1,5,0.62,0.76,tetragonal,-2.623,0.369,0.2,16.167,2.492,4.308,4.332,4.332,90,90,90,4.188,0.5629629629999999,0.6601897436,5.999,6.05,1.81,1.38,0.6601897436
284,504,504,504,BaUO3,Ba,U,1,2,4,1.61,0.89,orthorhombic,-3.46,-0.094,0.4,17.58,2.645,6.256,6.32,8.893,90,90,90,5.448,0.6592592593,0.9343911037,5.212000000000001,6.05,0.89,1.38,0.9343911037
285,3694,3694,3694,RhPmO3,Rh,Pm,0,element not in BV,element not in BV,0.61,0.97,orthorhombic,-1.979,0.382,0,13.388,0.366,5.442,5.853,8.406,90,90,90,-6.557,0.7185185184999999,0.5973833151,7.46,5.553999999999999,2.28,1.13,0.5973833151
286,350,350,350,AuTaO3,Au,Ta,0,element not in BV,element not in BV,0.93,0.68,rhombohedral,-1.935,0.303,0,12.233,1.182,5.669,5.669,5.669,57.8,57.8,57.8,3.741,0.5037037037,0.7941888971,9.225,7.89,2.54,1.5,0.7941888971
287,2275,2275,2275,LuCoO3,Lu,Co,0,3,3,1.03,0.61,orthorhombic,-2.573,0.035,0,10.328,1.41,5.114,5.546,7.283,90,90,90,1.89,0.4518518519,0.8586296629000001,5.4259,7.86,1.27,1.88,0.8586296629000001
288,2296,2296,2296,LuMnO3,Lu,Mn,1,3,3,1.03,0.65,orthorhombic,-2.982,0.052,0.8,10.871,0.422,5.189,5.658,7.406,90,90,90,3.157,0.4814814815,0.8414570695999999,5.4259,7.435,1.27,1.55,0.8414570695999999
289,1451,1451,1451,FeTlO3,Fe,Tl,0,3,3,0.78,0.89,orthorhombic,-1.146,0.148,1,12.604,0.664,5.458,5.471,8.441,90,90,90,-5.325,0.6592592593,0.6723827875,7.87,6.108,1.83,1.62,0.6723827875
290,358,358,358,AuUO3,Au,U,0,element not in BV,element not in BV,0.93,0.85,orthorhombic,-2.267,0.237,0.2,14.996,1.753,5.813,6.082,8.484,90,90,90,2.881,0.6296296296,0.732819755,9.225,6.05,2.54,1.38,0.732819755
291,913,913,913,CoNdO3,Co,Nd,0,3,3,0.61,0.98,rhombohedral,-2.336,0.122,0.8,14.725,1.597,6.174,6.174,6.174,55.1,55.1,55.1,-0.35470613837242126,0.7259259259,0.5948194383,7.86,5.53,1.88,1.14,0.5948194383
292,2454,2454,2454,MnPrO3,Mn,Pr,0,2,4,0.96,0.85,orthorhombic,-2.555,0.315,0.8,13.935,0.333,5.744,5.779,8.396,90,90,90,-3.338,0.6296296296,0.7424621201999999,7.435,5.46,1.55,1.13,0.7424621201999999
293,3926,3926,3926,ScSrO3,Sc,Sr,0,not balanced,not balanced,0.87,1.18,orthorhombic,-2.92,0.22,0.2,15.246,0.827,5.918,6.204,8.305,90,90,90,-6.833,0.8740740740999999,0.6204652388,6.54,5.695,1.36,0.95,0.6204652388
294,1629,1629,1629,GeHfO3,Ge,Hf,0,2,4,0.73,0.71,orthorhombic,-2.66,0.218,0,12.262,2.728,5.421,5.756,7.86,90,90,90,4.589,0.5259259259000001,0.7139718956000001,7.899,6.65,2.01,1.3,0.7139718956000001
295,4074,4074,4074,SmTbO3,Sm,Tb,0,2,4,1.32,0.76,cubic,-2.842,0.789,0,15.898,1.608,4.3,4.3,4.3,90,90,90,2.172,0.5629629629999999,0.8947749316,5.64,5.86,1.17,1.1,0.8947749316
296,4269,4269,4269,TaNaO3,Ta,Na,0,not balanced,not balanced,0.74,1.02,orthorhombic,-2.633,0.298,0,12.859,2.958,5.468,5.632,8.351,90,90,90,-11.349,0.7555555556,0.6235667395000001,7.89,5.138999999999999,1.5,0.93,0.6235667395000001
297,3314,3314,3314,PrLaO3,Pr,La,0,3,3,1.18,1.03,cubic,-2.68,0.965,0,18.627,0.501,4.533,4.533,4.533,90,90,90,2.547,0.762962963,0.7516723345999999,5.46,5.58,1.13,1.1,0.7516723345999999
298,5313,5313,5313,ZrSrO3,Zr,Sr,0,not balanced,not balanced,0.89,1.18,orthorhombic,-3.229,0.272,0,15.972,3.5,5.87,5.966,9.123,90,90,90,-10.761,0.8740740740999999,0.6260550158,6.84,5.695,1.33,0.95,0.6260550158
299,4646,4646,4646,TiPuO3,Ti,Pu,0,element not in BV,element not in BV,0.74,0.83,orthorhombic,-3.178,0.26,1.2,13.728,0.39,5.652,5.906,8.224,90,90,90,-0.35470613837242126,0.6148148148,0.6779142994,6.82,6.06,1.54,1.28,0.6779142994
300,1660,1660,1660,GeSiO3,Ge,Si,0,2,4,0.73,0.4,tetragonal,-2.029,0.382,0.23024652898311615,10.11,2.063,3.419,3.419,4.324,90,90,90,5.488,0.2962962963,0.8404469171,7.899,8.151,2.01,1.9,0.8404469171
301,4043,4043,4043,SmKO3,Sm,K,0,not balanced,not balanced,1.24,1.38,orthorhombic,-2.137,0.291,0,17.217,1.596,6.325,6.401,8.505,90,90,90,-3.394,1.0222222222,0.670844895,5.64,4.341,1.17,0.82,0.670844895
302,2019,2019,2019,IrRbO3,Ir,Rb,0,not balanced,not balanced,0.63,1.52,rhombohedral,-1.136,0.154,0.4,19.477,0.881,6.345,6.345,6.345,63.5,63.5,63.5,-20.814,1.1259259259,0.4878297654,9.1,4.177,2.2,0.82,0.4878297654
303,1258,1258,1258,Er2O3,Er,Er,0,3,3,1.06,0.89,cubic,-2.947,0.949,0,14.923,1.559,4.21,4.21,4.21,90,90,90,1.088,0.6592592593,0.7607711351,6.101,6.101,1.24,1.24,0.7607711351
304,154,154,154,AlBiO3,Al,Bi,0,not balanced,not balanced,0.54,0.9,orthorhombic,-2.132,0.257,0.23024652898311615,13.078,1.156,5.494,5.499,8.657,90,90,90,-4.525,0.6666666667,0.5939696962,5.986000000000001,7.289,1.61,2.02,0.5939696962
305,2035,2035,2035,IrTlO3,Ir,Tl,0,3,3,0.68,0.89,rhombohedral,-0.731,0.253,0.4,17.947,0.544,5.943,5.943,5.943,70.1,70.1,70.1,-10.072,0.6592592593,0.6408155205,9.1,6.108,2.2,1.62,0.6408155205
306,1201,1201,1201,DyMnO3,Dy,Mn,1,2,4,1.19,0.53,orthorhombic,-2.96,0.024,0.8,11.308,0.262,5.281,5.721,7.486,90,90,90,3.481,0.39259259259999996,0.9553463959,5.94,7.435,1.22,1.55,0.9553463959
307,1188,1188,1188,DyGaO3,Dy,Ga,0,3,3,1.08,0.62,orthorhombic,-2.972,0.017,0,11.058,4.078,5.263,5.558,7.56,90,90,90,4.452,0.4592592593,0.8722180093,5.94,5.999,1.22,1.81,0.8722180093
308,1841,1841,1841,HoDyO3,Ho,Dy,0,not balanced,not balanced,1.12,0.99,cubic,-2.875,0.987,0,15.432,1.383,4.257,4.257,4.257,90,90,90,0.661,0.7333333333,0.7463904912999999,6.018,5.94,1.23,1.22,0.7463904912999999
309,4599,4599,4599,TiAcO3,Ti,Ac,0,element not in BV,element not in BV,0.74,1.12,rhombohedral,-3.156,0.287,0.2,16.959,0.598,6.304,6.304,6.304,58.1,58.1,58.1,-7.753,0.8296296296,0.5983211225,6.82,5.17,1.54,1.1,0.5983211225
310,670,670,670,CaCrO3,Ca,Cr,1,2,4,1.34,0.55,orthorhombic,-2.611,0.054,0.4,11.068,0.541,5.302,5.54,7.536,90,90,90,1.456,0.40740740740000003,1.0011143376,6.1129999999999995,6.766,1.0,1.66,1.0011143376
311,4656,4656,4656,TiSrO3,Ti,Sr,0,not balanced,not balanced,0.74,1.18,orthorhombic,-3.182,0.171,0.001,15.27,2.843,5.607,5.726,9.512,90,90,90,-11.834,0.8740740740999999,0.5841316888,6.82,5.695,1.54,0.95,0.5841316888
312,2878,2878,2878,NpLuO3,Np,Lu,0,element not in BV,element not in BV,0.98,0.86,orthorhombic,-3.749,-0.028,0.8,14.135,2.807,5.72,6.006,8.229,90,90,90,-0.35470613837242126,0.637037037,0.7455017195,6.19,5.4259,1.36,1.27,0.7455017195
313,619,619,619,BiNaO3,Bi,Na,0,not balanced,not balanced,1.38,1.02,orthorhombic,-1.275,0.18,0.23024652898311615,13.664,0.609,5.133,5.479,9.717,90,90,90,-5.244,0.7555555556,0.8145154062000001,7.289,5.138999999999999,2.02,0.93,0.8145154062000001
314,1247,1247,1247,ErBaO3,Er,Ba,0,not balanced,not balanced,1.06,1.35,orthorhombic,-2.848,0.276,0.2,18.174,0.641,6.465,6.767,8.309,90,90,90,-8.217,1.0,0.6311582751,6.101,5.212000000000001,1.24,0.89,0.6311582751
315,1564,1564,1564,GdLuO3,Gd,Lu,0,3,3,1.11,0.86,cubic,-3.203,0.674,0,14.345,1.993,4.155,4.155,4.155,90,90,90,4.72,0.637037037,0.7870962361,6.15,5.4259,1.2,1.27,0.7870962361
316,4686,4686,4686,TlCsO3,Tl,Cs,0,not balanced,not balanced,1.7,1.67,orthorhombic,-0.462,0.57,0.23024652898311615,18.293,0.648,5.458,6.322,10.603,90,90,90,-1.57,1.2370370370000001,0.7141310206999999,6.108,3.8939999999999997,1.62,0.79,0.7141310206999999
317,3344,3344,3344,PrTbO3,Pr,Tb,0,3,3,1.18,0.92,cubic,-2.941,0.628,0,16.073,1.649,4.315,4.315,4.315,90,90,90,4.361,0.6814814815000001,0.7880969851999999,5.46,5.86,1.13,1.1,0.7880969851999999
318,3257,3257,3257,PmPrO3,Pm,Pr,0,element not in BV,element not in BV,1.14,0.92,cubic,-2.572,1.054,0,18.234,0.965,4.501,4.501,4.501,90,90,90,2.66,0.6814814815000001,0.7756369538,5.553999999999999,5.46,1.13,1.13,0.7756369538
319,1327,1327,1327,EuCrO3,Eu,Cr,1,2,4,1.48,0.55,orthorhombic,-2.8,-0.051,0.4,10.803,0.605,5.334,5.352,7.569,90,90,90,2.113,0.40740740740000003,1.0532169425,5.67,6.766,1.2,1.66,1.0532169425
320,5326,5326,5326,ZrYbO3,Zr,Yb,0,not balanced,not balanced,0.89,0.95,orthorhombic,-3.455,0.205,0,13.136,4.007,5.558,5.726,8.254,90,90,90,-6.177,0.7037037037,0.6886605173,6.84,6.254,1.33,1.1,0.6886605173
321,2193,2193,2193,LiAsO3,Li,As,0,1,5,0.92,0.46,orthorhombic,-1.66,0.164,0.23024652898311615,8.634,1.977,4.891,5.003,7.058,90,90,90,1.238,0.3407407407,0.886813477,5.392,9.81,0.98,2.18,0.886813477
322,3605,3605,3605,ReKO3,Re,K,0,5,1,0.58,1.38,rhombohedral,-1.718,0.21,0,18.357,1.623,6.323,6.323,6.323,61.2,61.2,61.2,-10.916,1.0222222222,0.4998960028,7.88,4.341,1.9,0.82,0.4998960028
323,114,114,114,AgPaO3,Ag,Pa,0,element not in BV,element not in BV,1.28,0.91,rhombohedral,-2.326,-0.361,0,14.961,2.571,6.043,6.043,6.043,58.2,58.2,58.2,4.367,0.6740740741,0.8228720506999999,7.5760000000000005,5.89,1.93,1.5,0.8228720506999999
324,1668,1668,1668,GeThO3,Ge,Th,0,2,4,0.73,0.94,cubic,-2.162,0.978,0,18.789,0.323,4.546,4.546,4.546,90,90,90,2.191,0.6962962963,0.6422629279,7.899,6.08,2.01,1.3,0.6422629279
325,939,939,939,CoTiO3,Co,Ti,0,2,4,0.9,0.61,cubic,-1.963,0.525,0.6,11.159,0.677,3.821,3.821,3.821,90,90,90,1.218,0.4518518519,0.8117297232999999,7.86,6.82,1.88,1.54,0.8117297232999999
326,4313,4313,4313,TbBaO3,Tb,Ba,0,4,2,0.88,1.35,orthorhombic,-2.69,0.271,0.201,18.699,0.64,6.5,6.766,8.504,90,90,90,-6.725,1.0,0.5840178229999999,5.86,5.212000000000001,1.1,0.89,0.5840178229999999
327,4281,4281,4281,TaPuO3,Ta,Pu,0,element not in BV,element not in BV,0.74,0.83,rhombohedral,-2.83,0.301,1,15.116,0.779,5.716,5.716,5.716,66.7,66.7,66.7,-8.643,0.6148148148,0.6779142994,7.89,6.06,1.5,1.28,0.6779142994
328,4017,4017,4017,SmAlO3,Sm,Al,1,3,3,1.24,0.54,orthorhombic,-3.537,-0.054,0,10.494,4.871,5.288,5.305,7.481,90,90,90,6.413,0.4,0.9689981816,5.64,5.986000000000001,1.17,1.61,0.9689981816
329,3133,3133,3133,PbVO3,Pb,V,0,2,4,1.49,0.58,tetragonal,-2.05,0.033,0.2,13.155,1.006,3.874,3.874,4.383,90,90,90,3.148,0.4296296296,1.0405094604,7.416,6.74,2.33,1.63,1.0405094604
330,4875,4875,4875,USrO3,U,Sr,0,4,2,1.17,1.18,orthorhombic,-3.326,0.161,0.4,16.725,1.939,5.809,5.967,9.651,90,90,90,-7.732,0.8740740740999999,0.7043118926999999,6.05,5.695,1.38,0.95,0.7043118926999999
