,Unnamed: 0,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor,A_EN,B_EN,C_EN,A_IE,B_IE,C_IE
1092,1092,CsYbO3,Cs,Yb,False,not balanced,not balanced,1.88,0.95,cubic,-1.296,0.75,-,17.725,0,4.458,4.458,4.458,90,90,90,-1.53,O,1.385,0.9887381758,0.79,-,3.44,3.8939999999999997,6.254,13.618
1093,1093,CsZnO3,Cs,Zn,False,not balanced,not balanced,1.88,0.74,cubic,-0.533,0.769,-,13.697,0,4.091,4.091,4.091,90,90,90,-2.463,O,1.385,1.086448772,0.79,1.65,3.44,3.8939999999999997,9.394,13.618
1094,1094,CsZrO3,Cs,Zr,False,not balanced,not balanced,1.88,0.72,cubic,-2.502,0.208,0.2,15.888,0,4.299,4.299,4.299,90,90,90,-0.121,O,1.385,1.0967713257,0.79,1.33,3.44,3.8939999999999997,6.84,13.618
1095,1095,CuAcO3,Cu,Ac,False,element not in BV,element not in BV,0.68,1.12,rhombohedral,-2.023,0.218,0.401,16.494,0.297,6.531,6.531,6.531,53.1,53.1,53.1,-2.485,O,1.385,0.5829043925,1.9,1.1,3.44,7.726,5.17,13.618
1096,1096,CuAgO3,Cu,Ag,False,not balanced,not balanced,0.68,0.95,orthorhombic,-0.23,0.224,-,10.506,0,4.947,5.214,8.146,90,90,90,-3.439,O,1.385,0.6253428279,1.9,1.93,3.44,7.726,7.5760000000000005,13.618
1097,1097,CuAlO3,Cu,Al,False,not balanced,not balanced,0.68,0.54,cubic,-1.398,0.557,-,9.647,0,3.64,3.64,3.64,90,90,90,-2.208,O,1.385,0.7585327289,1.9,1.61,3.44,7.726,5.986000000000001,13.618
1098,1098,CuAsO3,Cu,As,False,1,5,0.77,0.46,rhombohedral,-1.028,0.154,-,9.505,0,5.167,5.167,5.167,58.9,58.9,58.9,0.91,O,1.385,0.8259160507,1.9,2.18,3.44,7.726,9.81,13.618
1099,1099,CuAuO3,Cu,Au,False,element not in BV,element not in BV,0.68,0.93,cubic,0.382,0.845,-,12.838,0,4.004,4.004,4.004,90,90,90,-1.702,O,1.385,0.6307453577000001,1.9,2.54,3.44,7.726,9.225,13.618
1100,1100,CuBO3,Cu,B,False,3,3,0.54,0.27,cubic,-0.524,1.118,-,7.313,0,3.319,3.319,3.319,90,90,90,-3.221,O,1.385,0.8224655914,1.9,2.04,3.44,7.726,8.298,13.618
1101,1101,CuBaO3,Cu,Ba,False,not balanced,not balanced,0.68,1.35,orthorhombic,-1.435,0.159,-,15.514,0,5.484,6.298,8.984,90,90,90,-8.108,O,1.385,0.5338850103,1.9,0.89,3.44,7.726,5.212000000000001,13.618
1102,1102,CuBeO3,Cu,Be,False,not balanced,not balanced,0.68,0.45,cubic,-0.649,0.86,-,7.822,0,3.394,3.394,3.394,90,90,90,-3.966,O,1.385,0.7957359690000001,1.9,1.57,3.44,7.726,9.322000000000001,13.618
1103,1103,CuBiO3,Cu,Bi,False,1,5,0.77,0.76,rhombohedral,-0.999,0.095,-,12.822,0,5.752,5.752,5.752,57.9,57.9,57.9,-0.242,O,1.385,0.7104033163,1.9,2.02,3.44,7.726,7.289,13.618
1104,1104,CuCaO3,Cu,Ca,False,not balanced,not balanced,0.68,1.0,orthorhombic,-1.457,0.17,-,11.668,0,5.66,5.775,7.139,90,90,90,-,O,1.385,0.6122329154,1.9,1,3.44,7.726,6.1129999999999995,13.618
1105,1105,CuCdO3,Cu,Cd,False,not balanced,not balanced,0.68,0.95,cubic,0.286,1.103,-,13.619,0,4.084,4.084,4.084,90,90,90,-5.395,O,1.385,0.6253428279,1.9,1.69,3.44,7.726,8.993,13.618
1106,1106,CuCeO3,Cu,Ce,False,not balanced,not balanced,0.68,0.94,rhombohedral,-1.953,0.204,0.4,15.973,0.464,6.703,6.703,6.703,49.4,49.4,49.4,-4.235,O,1.385,0.6280324745,1.9,1.12,3.44,7.726,5.54,13.618
1107,1107,CuCoO3,Cu,Co,False,2,4,0.73,0.53,cubic,-0.389,0.56,0.75,9.845,0,3.665,3.665,3.665,90,90,90,-1.005,O,1.385,0.7809560534000001,1.9,1.88,3.44,7.726,7.86,13.618
1108,1108,CuCrO3,Cu,Cr,False,1,5,0.77,0.49,cubic,-1.078,0.52,0.2,10.174,0,3.705,3.705,3.705,90,90,90,-0.457,O,1.385,0.8127013938,1.9,1.66,3.44,7.726,6.766,13.618
1109,1109,CuCsO3,Cu,Cs,False,not balanced,not balanced,0.68,1.67,cubic,0.678,1.677,-,16.147,0,4.322,4.322,4.322,90,90,90,-2.165,O,1.385,0.4779625215,1.9,0.79,3.44,7.726,3.8939999999999997,13.618
1110,1110,Cu2O3,Cu,Cu,False,not balanced,not balanced,0.68,0.68,cubic,0.04,0.685,-,9.94,0,3.677,3.677,3.677,90,90,90,-3.296,O,1.385,0.7071067812,1.9,1.9,3.44,7.726,7.726,13.618
1111,1111,CuDyO3,Cu,Dy,False,not balanced,not balanced,0.68,0.99,rhombohedral,-2.062,0.267,0.4,13.329,0.373,6.017,6.017,6.017,54.2,54.2,54.2,-3.666,O,1.385,0.6148107382,1.9,1.22,3.44,7.726,5.94,13.618
1112,1112,CuErO3,Cu,Er,False,not balanced,not balanced,0.68,0.89,cubic,-1.258,1.09,-0.016,15.678,0,4.28,4.28,4.28,90,90,90,-4.064,O,1.385,0.641835386,1.9,1.24,3.44,7.726,6.101,13.618
1113,1113,CuEuO3,Cu,Eu,False,not balanced,not balanced,0.68,1.06,orthorhombic,-1.738,0.104,0.2,12.733,0,4.838,5.894,8.931,90,90,90,-6.969,O,1.385,0.5972087947,1.9,-,3.44,7.726,5.67,13.618
1114,1114,CuFeO3,Cu,Fe,False,2,4,0.73,0.59,cubic,-0.649,0.508,0.959,10.271,0,3.717,3.717,3.717,90,90,90,-1.512,O,1.385,0.7572308062,1.9,1.83,3.44,7.726,7.87,13.618
1115,1115,CuGaO3,Cu,Ga,False,not balanced,not balanced,0.68,0.62,cubic,-0.625,0.748,-,10.951,0,3.797,3.797,3.797,90,90,90,-3.441,O,1.385,0.7282670839000001,1.9,1.81,3.44,7.726,5.999,13.618
1116,1116,CuGdO3,Cu,Gd,False,not balanced,not balanced,0.68,0.94,rhombohedral,-2.036,0.271,0.4,13.667,0.342,6.05,6.05,6.05,54.5,54.5,54.5,-4.248,O,1.385,0.6280324745,1.9,1.2,3.44,7.726,6.15,13.618
1117,1117,CuGeO3,Cu,Ge,False,2,4,0.73,0.53,cubic,-0.911,0.545,-,10.115,0,3.698,3.698,3.698,90,90,90,-0.446,O,1.385,0.7809560534000001,1.9,2.01,3.44,7.726,7.899,13.618
1118,1118,CuHfO3,Cu,Hf,False,not balanced,not balanced,0.68,0.71,cubic,-2.027,0.599,0.201,13.388,0,4.06,4.06,4.06,90,90,90,-0.592,O,1.385,0.6969811470999999,1.9,1.3,3.44,7.726,6.65,13.618
1119,1119,CuHgO3,Cu,Hg,False,not balanced,not balanced,0.68,1.11,orthorhombic,-0.195,0.309,-,11.6,0,5.176,5.352,8.375,90,90,90,-4.205,O,1.385,0.5852406826,1.9,2,3.44,7.726,10.437000000000001,13.618
1120,1120,CuHoO3,Cu,Ho,False,not balanced,not balanced,0.68,0.9,rhombohedral,-2.075,0.263,0.399,13.217,0.384,6.023,6.023,6.023,53.8,53.8,53.8,-3.538,O,1.385,0.6390264784,1.9,1.23,3.44,7.726,6.018,13.618
1121,1121,CuInO3,Cu,In,False,not balanced,not balanced,0.68,0.8,cubic,-0.28,0.964,-,13.835,0,4.105,4.105,4.105,90,90,90,-4.021,O,1.385,0.6682725415,1.9,1.78,3.44,7.726,5.7860000000000005,13.618
1122,1122,CuIrO3,Cu,Ir,False,1,5,0.77,0.57,cubic,-0.389,0.572,0.248,11.438,0,3.853,3.853,3.853,90,90,90,0.844,O,1.385,0.7794450708,1.9,2.2,3.44,7.726,9.1,13.618
1123,1123,CuKO3,Cu,K,False,not balanced,not balanced,0.68,1.38,cubic,1.129,2.138,-,16.91,0,4.389,4.389,4.389,90,90,90,-4.542,O,1.385,0.5280924062,1.9,0.82,3.44,7.726,4.341,13.618
1124,1124,CuLaO3,Cu,La,False,not balanced,not balanced,0.68,1.03,rhombohedral,-2.025,0.239,0.4,15.024,0.263,6.195,6.195,6.195,55.4,55.4,55.4,-3.569,O,1.385,0.6046275375,1.9,1.1,3.44,7.726,5.58,13.618
1125,1125,CuLiO3,Cu,Li,False,not balanced,not balanced,0.68,0.76,cubic,0.142,1.197,-,8.729,0,3.521,3.521,3.521,90,90,90,-7.168,O,1.385,0.6807345003,1.9,0.98,3.44,7.726,5.392,13.618
1126,1126,CuLuO3,Cu,Lu,False,not balanced,not balanced,0.68,0.86,cubic,-1.336,0.991,-0.005,15.015,0,4.219,4.219,4.219,90,90,90,-3.845,O,1.385,0.6504122508,1.9,1.27,3.44,7.726,5.4259,13.618
1127,1127,CuMgO3,Cu,Mg,False,not balanced,not balanced,0.68,0.72,cubic,-0.519,0.999,-,11.107,0,3.815,3.815,3.815,90,90,90,-4.654,O,1.385,0.6936700728,1.9,1.31,3.44,7.726,7.646,13.618
1128,1128,CuMnO3,Cu,Mn,False,2,4,0.73,0.53,cubic,-0.835,0.558,0.4,10.248,0,3.714,3.714,3.714,90,90,90,-1.681,O,1.385,0.7809560534000001,1.9,1.55,3.44,7.726,7.435,13.618
1129,1129,CuMoO3,Cu,Mo,False,1,5,0.77,0.61,rhombohedral,-1.645,0.089,0,10.565,0,5.484,5.484,5.484,55.9,55.9,55.9,3.985,O,1.385,0.7638170995,1.9,2.16,3.44,7.726,7.099,13.618
1130,1130,CuNaO3,Cu,Na,False,not balanced,not balanced,0.68,1.02,cubic,0.744,1.752,-,12.732,0,3.993,3.993,3.993,90,90,90,-11.78,O,1.385,0.6071415814,1.9,0.93,3.44,7.726,5.138999999999999,13.618
1131,1131,CuNbO3,Cu,Nb,False,1,5,0.77,0.64,rhombohedral,-2.121,0.066,0,11.121,0.787,5.59,5.59,5.59,55.7,55.7,55.7,4.362,O,1.385,0.7525012906,1.9,1.6,3.44,7.726,6.88,13.618
1132,1132,CuNdO3,Cu,Nd,False,not balanced,not balanced,0.68,0.98,rhombohedral,-1.961,0.298,0.4,14.573,0.356,6.164,6.164,6.164,54.8,54.8,54.8,-3.862,O,1.385,0.6174103607,1.9,1.14,3.44,7.726,5.53,13.618
1133,1133,CuNiO3,Cu,Ni,False,2,4,0.73,0.48,cubic,-0.121,0.698,0.558,9.833,0,3.663,3.663,3.663,90,90,90,-2.679,O,1.385,0.8018932129999999,1.9,1.91,3.44,7.726,7.635,13.618
1134,1134,CuNpO3,Cu,Np,False,element not in BV,element not in BV,0.68,0.86,cubic,-1.931,0.618,0.389,15.268,0,4.242,4.242,4.242,90,90,90,2.687,O,1.385,0.6504122508,1.9,1.36,3.44,7.726,6.19,13.618
1135,1135,CuOsO3,Cu,Os,False,element not in BV,element not in BV,0.68,0.57,rhombohedral,-1,0.045,0.001,10.191,0,5.277,5.277,5.277,59.1,59.1,59.1,2.299,O,1.385,0.7468928404999999,1.9,2.2,3.44,7.726,8.7,13.618
1136,1136,CuPaO3,Cu,Pa,False,element not in BV,element not in BV,0.68,0.91,rhombohedral,-2.425,-0.243,0,13.659,2.633,5.994,5.994,5.994,55.6,55.6,55.6,4.128,O,1.385,0.6362420493,1.9,1.5,3.44,7.726,5.89,13.618
1137,1137,CuPbO3,Cu,Pb,False,not balanced,not balanced,0.68,0.99,rhombohedral,-0.827,0.164,-,12.845,0,5.834,5.834,5.834,56.3,56.3,56.3,-2.508,O,1.385,0.6148107382,1.9,2.33,3.44,7.726,7.416,13.618
1138,1138,CuPdO3,Cu,Pd,False,not balanced,not balanced,0.68,0.75,cubic,0.086,0.699,-,11.833,0,3.897,3.897,3.897,90,90,90,-2.63,O,1.385,0.6839229523,1.9,2.2,3.44,7.726,8.34,13.618
1139,1139,CuPmO3,Cu,Pm,False,element not in BV,element not in BV,0.68,0.97,rhombohedral,-1.98,0.224,0.4,14.195,0.366,6.115,6.115,6.115,54.8,54.8,54.8,-3.828,O,1.385,0.6200320608,1.9,-,3.44,7.726,5.553999999999999,13.618
1140,1140,CuPrO3,Cu,Pr,False,not balanced,not balanced,0.68,0.92,rhombohedral,-1.938,0.234,0.4,14.773,0.342,6.179,6.179,6.179,55.1,55.1,55.1,-3.905,O,1.385,0.6334817801,1.9,1.13,3.44,7.726,5.46,13.618
1141,1141,CuPtO3,Cu,Pt,False,element not in BV,element not in BV,0.68,0.67,cubic,-0.034,0.733,0.318,11.993,0,3.914,3.914,3.914,90,90,90,-0.639,O,1.385,0.7105476901000001,1.9,2.28,3.44,7.726,9.0,13.618
1142,1142,CuPuO3,Cu,Pu,False,element not in BV,element not in BV,0.68,0.83,cubic,-1.756,0.523,0.601,15.125,0.801,4.229,4.229,4.229,90,90,90,0.726,O,1.385,0.6592214461,1.9,1.28,3.44,7.726,6.06,13.618
1143,1143,CuRbO3,Cu,Rb,False,not balanced,not balanced,0.68,1.52,cubic,1.095,2.094,-,15.595,0,4.272,4.272,4.272,90,90,90,-14.336,O,1.385,0.5026421698,1.9,0.82,3.44,7.726,4.177,13.618
1144,1144,CuReO3,Cu,Re,False,1,5,0.77,0.58,rhombohedral,-1.324,0.196,0,10.363,0,5.38,5.38,5.38,57.4,57.4,57.4,3.638,O,1.385,0.7754784292,1.9,1.9,3.44,7.726,7.88,13.618
1145,1145,CuRhO3,Cu,Rh,False,2,4,0.73,0.6,cubic,-0.302,0.643,0.453,11.424,0,3.851,3.851,3.851,90,90,90,-0.321,O,1.385,0.7534160414,1.9,2.28,3.44,7.726,7.46,13.618
1146,1146,CuRuO3,Cu,Ru,False,1,5,0.77,0.57,orthorhombic,-0.955,0.128,0.199,9.792,0,5.109,5.125,7.479,90,90,90,1.467,O,1.385,0.7794450708,1.9,2.2,3.44,7.726,7.37,13.618
1147,1147,CuSbO3,Cu,Sb,False,1,5,0.77,0.6,rhombohedral,-1.305,0.03,-,11.001,0,5.447,5.447,5.447,58.4,58.4,58.4,2.079,O,1.385,0.7676650446,1.9,2.05,3.44,7.726,8.641,13.618
1148,1148,CuScO3,Cu,Sc,False,not balanced,not balanced,0.68,0.75,cubic,-1.431,0.806,0.339,13.325,0,4.054,4.054,4.054,90,90,90,-3.057,O,1.385,0.6839229523,1.9,1.36,3.44,7.726,6.54,13.618
1149,1149,CuSiO3,Cu,Si,False,not balanced,not balanced,0.68,0.4,cubic,-1.607,0.559,-,8.578,0,3.5,3.5,3.5,90,90,90,0.45,O,1.385,0.8180254920000001,1.9,1.9,3.44,7.726,8.151,13.618
1150,1150,CuSmO3,Cu,Sm,False,not balanced,not balanced,0.68,0.96,rhombohedral,-1.991,0.274,0.399,14.041,0.368,6.098,6.098,6.098,54.7,54.7,54.7,-3.935,O,1.385,0.6226761207,1.9,1.17,3.44,7.726,5.64,13.618
1151,1151,CuSnO3,Cu,Sn,False,not balanced,not balanced,0.68,0.69,cubic,-0.828,0.666,-,12.973,0,4.018,4.018,4.018,90,90,90,-1.033,O,1.385,0.7036990377,1.9,1.96,3.44,7.726,7.343999999999999,13.618
1152,1152,CuSrO3,Cu,Sr,False,not balanced,not balanced,0.68,1.18,orthorhombic,-1.409,0.209,-,13.148,0,5.85,6.267,7.173,90,90,90,-8.824,O,1.385,0.5692692020000001,1.9,0.95,3.44,7.726,5.695,13.618
1153,1153,CuTaO3,Cu,Ta,False,1,5,0.77,0.64,orthorhombic,-2.32,0.077,0,10.912,1.36,5.233,5.456,7.643,90,90,90,5.237,O,1.385,0.7525012906,1.9,1.5,3.44,7.726,7.89,13.618
1154,1154,CuTbO3,Cu,Tb,False,not balanced,not balanced,0.68,0.84,rhombohedral,-1.918,0.224,0.399,13.473,0.366,6.037,6.037,6.037,54.3,54.3,54.3,-3.729,O,1.385,0.6562586531,1.9,-,3.44,7.726,5.86,13.618
1155,1155,CuTcO3,Cu,Tc,False,element not in BV,element not in BV,0.68,0.6,rhombohedral,-1.295,0.056,0,10.239,0,5.382,5.382,5.382,56.9,56.9,56.9,2.996,O,1.385,0.7356047875,1.9,1.9,3.44,7.726,7.28,13.618
1156,1156,CuTeO3,Cu,Te,False,2,4,0.73,0.97,rhombohedral,-0.951,0.151,-,11.749,0,5.602,5.602,5.602,57.6,57.6,57.6,1.048,O,1.385,0.6350449436,1.9,2.1,3.44,7.726,9.009,13.618
1157,1157,CuThO3,Cu,Th,False,not balanced,not balanced,0.68,0.94,cubic,-1.922,0.943,-0.029,17.768,0,4.462,4.462,4.462,90,90,90,-1.294,O,1.385,0.6280324745,1.9,1.3,3.44,7.726,6.08,13.618
1158,1158,CuTiO3,Cu,Ti,False,2,4,0.73,0.61,orthorhombic,-2.142,0.126,0.2,9.718,0.653,4.937,5.24,7.512,90,90,90,-0.66,O,1.385,0.7496395199,1.9,1.54,3.44,7.726,6.82,13.618
1159,1159,CuTlO3,Cu,Tl,False,not balanced,not balanced,0.68,1.2,rhombohedral,-0.494,0.297,-,13.088,0,5.863,5.863,5.863,56.5,56.5,56.5,-4.277,O,1.385,0.5648647981,1.9,1.62,3.44,7.726,6.108,13.618
1160,1160,CuTmO3,Cu,Tm,False,not balanced,not balanced,0.68,0.96,rhombohedral,-2.098,0.212,0.4,12.846,0.384,5.95,5.95,5.95,54.1,54.1,54.1,-4.013,O,1.385,0.6226761207,1.9,1.25,3.44,7.726,6.184,13.618
1161,1161,CuUO3,Cu,U,False,1,5,0.77,0.76,rhombohedral,-2.609,0.011,0.2,13.29,1.769,5.912,5.912,5.912,56.1,56.1,56.1,3.288,O,1.385,0.7104033163,1.9,1.38,3.44,7.726,6.05,13.618
1162,1162,CuVO3,Cu,V,False,1,5,0.77,0.54,orthorhombic,-1.737,0.111,0,9.48,0.343,4.949,5.134,7.463,90,90,90,1.779,O,1.385,0.7915922667,1.9,1.63,3.44,7.726,6.74,13.618
1163,1163,CuWO3,Cu,W,False,1,5,0.77,0.62,rhombohedral,-1.739,0.217,-0.001,10.669,0,5.5,5.5,5.5,56,56,56,4.639,O,1.385,0.7600075379000001,1.9,2.36,3.44,7.726,7.98,13.618
1164,1164,CuYO3,Cu,Y,False,not balanced,not balanced,0.68,0.9,rhombohedral,-2.041,0.266,0.401,13.364,0.37,6.027,6.027,6.027,54.1,54.1,54.1,-4.218,O,1.385,0.6390264784,1.9,1.22,3.44,7.726,6.38,13.618
1165,1165,CuYbO3,Cu,Yb,False,not balanced,not balanced,0.68,0.95,orthorhombic,-1.595,0.275,-,11.075,0,5.663,5.665,6.903,90,90,90,-6.856,O,1.385,0.6253428279,1.9,-,3.44,7.726,6.254,13.618
1166,1166,CuZnO3,Cu,Zn,False,not balanced,not balanced,0.68,0.74,cubic,-0.068,0.914,-,10.874,0,3.788,3.788,3.788,90,90,90,-4.296,O,1.385,0.6871414131999999,1.9,1.65,3.44,7.726,9.394,13.618
1167,1167,CuZrO3,Cu,Zr,False,not balanced,not balanced,0.68,0.72,cubic,-1.845,0.657,0.202,14.063,0,4.127,4.127,4.127,90,90,90,-1.012,O,1.385,0.6936700728,1.9,1.33,3.44,7.726,6.84,13.618
1168,1168,DyAcO3,Dy,Ac,False,element not in BV,element not in BV,1.08,1.12,cubic,-2.161,1.554,0,20.224,0,4.659,4.659,4.659,90,90,90,0.805,O,1.385,0.6958156549,1.22,1.1,3.44,5.94,5.17,13.618
1169,1169,DyAgO3,Dy,Ag,False,not balanced,not balanced,1.08,0.95,cubic,-1.432,0.605,0,12.953,0,4.016,4.016,4.016,90,90,90,-0.565,O,1.385,0.7464746105,1.22,1.93,3.44,5.94,7.5760000000000005,13.618
1170,1170,DyAlO3,Dy,Al,True,3,3,1.08,0.54,orthorhombic,-3.588,-0.03,0,10.198,6.026,5.175,5.338,7.383,90,90,90,6.313,O,1.385,0.9054640081,1.22,1.61,3.44,5.94,5.986000000000001,13.618
1171,1171,DyAsO3,Dy,As,False,3,3,1.08,0.58,cubic,-1.907,0.782,0,12.687,0,3.988,3.988,3.988,90,90,90,2.144,O,1.385,0.8870321708,1.22,2.18,3.44,5.94,9.81,13.618
1172,1172,DyAuO3,Dy,Au,False,element not in BV,element not in BV,1.08,0.93,cubic,-1.292,0.774,0,13.694,0,4.091,4.091,4.091,90,90,90,-0.674,O,1.385,0.7529236353000001,1.22,2.54,3.44,5.94,9.225,13.618
1173,1173,DyBO3,Dy,B,False,not balanced,not balanced,1.08,0.27,cubic,-2.526,0.836,0,8.244,3.002,3.454,3.454,3.454,90,90,90,5.458,O,1.385,1.0531832119,1.22,2.04,3.44,5.94,8.298,13.618
1174,1174,DyBaO3,Dy,Ba,False,not balanced,not balanced,1.08,1.35,orthorhombic,-2.831,0.269,0.201,18.45,0.638,6.509,6.787,8.353,90,90,90,-7.677,O,1.385,0.6373009929,1.22,0.89,3.44,5.94,5.212000000000001,13.618
1175,1175,DyBeO3,Dy,Be,False,not balanced,not balanced,1.08,0.45,tetragonal,-2.799,0.312,0.042,9.515,0,3.311,3.311,4.341,90,90,90,-0.941,O,1.385,0.949873687,1.22,1.57,3.44,5.94,9.322000000000001,13.618
1176,1176,DyBiO3,Dy,Bi,False,not balanced,not balanced,1.08,0.9,cubic,-1.518,1.144,0,16.579,0,4.36,4.36,4.36,90,90,90,0.786,O,1.385,0.7628088471,1.22,2.02,3.44,5.94,7.289,13.618
1177,1177,DyCaO3,Dy,Ca,False,not balanced,not balanced,1.08,1.0,cubic,-2.141,1.075,0.2,13.605,0,4.082,4.082,4.082,90,90,90,-2.929,O,1.385,0.7308252476,1.22,1,3.44,5.94,6.1129999999999995,13.618
1178,1178,DyCdO3,Dy,Cd,False,not balanced,not balanced,1.08,0.95,cubic,-1.598,0.822,0,13.641,0,4.086,4.086,4.086,90,90,90,-1.035,O,1.385,0.7464746105,1.22,1.69,3.44,5.94,8.993,13.618
1179,1179,DyCeO3,Dy,Ce,False,2,4,1.19,0.87,cubic,-2.306,1.379,0,18.617,0,4.532,4.532,4.532,90,90,90,-3.241,O,1.385,0.8074500938,1.22,1.12,3.44,5.94,5.54,13.618
1180,1180,DyCoO3,Dy,Co,True,3,3,1.08,0.61,orthorhombic,-2.532,0.02,0.001,10.746,1.438,5.177,5.555,7.474,90,90,90,-,O,1.385,0.8736933412000001,1.22,1.88,3.44,5.94,7.86,13.618
1181,1181,DyCrO3,Dy,Cr,True,3,3,1.08,0.62,orthorhombic,-3.204,-0.038,0.6,11.115,2.524,5.265,5.569,7.582,90,90,90,4.239,O,1.385,0.8693357684,1.22,1.66,3.44,5.94,6.766,13.618
1182,1182,DyCsO3,Dy,Cs,False,not balanced,not balanced,1.08,1.67,-,-,-,-,-,-,-,-,-,-,-,-,-,O,1.385,0.5705460608,1.22,0.79,3.44,5.94,3.8939999999999997,13.618
1183,1183,DyCuO3,Dy,Cu,False,3,3,1.08,0.54,orthorhombic,-2.282,0.047,0,10.964,0.256,5.205,5.86,7.189,90,90,90,0.68,O,1.385,0.9054640081,1.22,1.9,3.44,5.94,7.726,13.618
1184,1184,Dy2O3,Dy,Dy,False,not balanced,not balanced,1.08,0.99,cubic,-2.904,0.946,0,15.461,1.645,4.26,4.26,4.26,90,90,90,0.855,O,1.385,0.7339024066,1.22,1.22,3.44,5.94,5.94,13.618
1185,1185,DyErO3,Dy,Er,False,not balanced,not balanced,1.08,0.89,cubic,-3.004,0.869,0,14.941,1.781,4.212,4.212,4.212,90,90,90,1.611,O,1.385,0.766161853,1.22,1.24,3.44,5.94,6.101,13.618
1186,1186,DyEuO3,Dy,Eu,False,not balanced,not balanced,1.08,1.06,cubic,-2.131,1.152,0.105,15.365,0,4.251,4.251,4.251,90,90,90,-2.368,O,1.385,0.7128908856999999,1.22,-,3.44,5.94,5.67,13.618
1187,1187,DyFeO3,Dy,Fe,True,3,3,1.08,0.65,orthorhombic,-2.782,-0.033,1,11.252,1.179,5.283,5.597,7.611,90,90,90,3.193,O,1.385,0.8565200076999999,1.22,1.83,3.44,5.94,7.87,13.618
1188,1188,DyGaO3,Dy,Ga,False,3,3,1.08,0.62,orthorhombic,-2.972,0.017,0,11.058,4.078,5.263,5.558,7.56,90,90,90,4.452,O,1.385,0.8693357684,1.22,1.81,3.44,5.94,5.999,13.618
1189,1189,DyGdO3,Dy,Gd,False,not balanced,not balanced,1.08,0.94,cubic,-2.789,1.032,0,16.035,1.31,4.312,4.312,4.312,90,90,90,0.097,O,1.385,0.7496852540000001,1.22,1.2,3.44,5.94,6.15,13.618
1190,1190,DyGeO3,Dy,Ge,False,2,4,1.19,0.53,cubic,-2.216,0.609,0,11.572,0,3.868,3.868,3.868,90,90,90,2.802,O,1.385,0.9508093794,1.22,2.01,3.44,5.94,7.899,13.618
1191,1191,DyHfO3,Dy,Hf,False,2,4,1.19,0.71,cubic,-3.131,0.522,0,13.456,0,4.067,4.067,4.067,90,90,90,4.507,O,1.385,0.8691169268000001,1.22,1.3,3.44,5.94,6.65,13.618
1192,1192,DyHgO3,Dy,Hg,False,not balanced,not balanced,1.08,1.11,cubic,-1.177,0.93,0,14.656,0,4.185,4.185,4.185,90,90,90,-0.976,O,1.385,0.6986044952,1.22,2,3.44,5.94,10.437000000000001,13.618
1193,1193,DyHoO3,Dy,Ho,False,not balanced,not balanced,1.08,0.9,cubic,-2.956,0.906,0,15.202,1.781,4.236,4.236,4.236,90,90,90,1.312,O,1.385,0.7628088471,1.22,1.23,3.44,5.94,6.018,13.618
1194,1194,DyInO3,Dy,In,False,not balanced,not balanced,1.08,0.8,cubic,-2.146,0.701,0,13.544,1.635,4.076,4.076,4.076,90,90,90,2.656,O,1.385,0.7977200072,1.22,1.78,3.44,5.94,5.7860000000000005,13.618
1195,1195,DyIrO3,Dy,Ir,False,2,4,1.19,0.63,cubic,-1.646,0.758,0,12.315,0,3.949,3.949,3.949,90,90,90,-0.915,O,1.385,0.9036228097,1.22,2.2,3.44,5.94,9.1,13.618
1196,1196,DyKO3,Dy,K,False,not balanced,not balanced,1.08,1.38,orthorhombic,-2.051,0.452,0.4,17.952,0,5.932,5.968,10.141,90,90,90,-3.943,O,1.385,0.6303863348,1.22,0.82,3.44,5.94,4.341,13.618
1197,1197,DyLaO3,Dy,La,False,not balanced,not balanced,1.08,1.03,cubic,-2.427,1.354,0,18.299,0,4.506,4.506,4.506,90,90,90,2.068,O,1.385,0.7217466731000001,1.22,1.1,3.44,5.94,5.58,13.618
1198,1198,DyLiO3,Dy,Li,False,not balanced,not balanced,1.08,0.76,orthorhombic,-2.281,0.326,0.4,10.375,0,4.991,5.762,7.215,90,90,90,-1.307,O,1.385,0.8125959047,1.22,0.98,3.44,5.94,5.392,13.618
1199,1199,DyLuO3,Dy,Lu,False,not balanced,not balanced,1.08,0.86,cubic,-3.148,0.758,0,14.264,2.163,4.147,4.147,4.147,90,90,90,4.616,O,1.385,0.7764000959999999,1.22,1.27,3.44,5.94,5.4259,13.618
1200,1200,DyMgO3,Dy,Mg,False,not balanced,not balanced,1.08,0.72,orthorhombic,-2.927,0.185,0.201,11.421,0,5.385,5.727,7.406,90,90,90,-1.468,O,1.385,0.8280371570999999,1.22,1.31,3.44,5.94,7.646,13.618
1201,1201,DyMnO3,Dy,Mn,True,2,4,1.19,0.53,orthorhombic,-2.96,0.024,0.8,11.308,0.262,5.281,5.721,7.486,90,90,90,3.481,O,1.385,0.9508093794,1.22,1.55,3.44,5.94,7.435,13.618
